game_id,week,home_team,away_team,start_date,my_spread,posted_date
401856766,1,TCU,North Carolina,2026-08-29T16:00:00.000Z,-4.5,2026-07-11
401864494,1,USC,San José State,2026-08-29T19:00:00.000Z,-24.5,2026-07-11
401858202,1,Virginia,NC State,2026-08-29T19:30:00.000Z,-8.5,2026-07-11
401864577,1,North Dakota State,Jacksonville State,2026-08-29T21:30:00.000Z,-11.5,2026-07-11
401866408,1,Eastern Michigan,Sacramento State,2026-08-29T22:30:00.000Z,-10.5,2026-07-11
401864570,1,Florida State,New Mexico State,2026-08-29T23:00:00.000Z,-26.5,2026-07-11
401858201,1,Stanford,Hawai'i,2026-08-29T23:00:00.000Z,-3.5,2026-07-11
401862693,1,UNLV,Memphis,2026-08-30T02:00:00.000Z,-4.5,2026-07-11
401858423,1,Rutgers,Massachusetts,2026-09-03T22:00:00.000Z,-27.5,2026-07-11
401856767,1,UCF,Bethune-Cookman,2026-09-03T23:00:00.000Z,-38.5,2026-07-11
401866409,1,Buffalo,UAlbany,2026-09-03T23:00:00.000Z,-20.5,2026-07-11
401864424,1,Delaware,Merrimack,2026-09-03T23:00:00.000Z,-13.5,2026-07-11
401864425,1,Kennesaw State,West Georgia,2026-09-03T23:00:00.000Z,-9.5,2026-07-11
401858204,1,Wake Forest,Akron,2026-09-03T23:00:00.000Z,-16.5,2026-07-11
401856663,1,Missouri,Arkansas-Pine Bluff,2026-09-04T00:00:00.000Z,-34.5,2026-07-11
401856776,1,Georgia Tech,Colorado,2026-09-04T00:00:00.000Z,-3.5,2026-07-11
401858422,1,Minnesota,Eastern Illinois,2026-09-04T00:00:00.000Z,-30.5,2026-07-11
401856768,1,Utah,Idaho,2026-09-04T01:00:00.000Z,-20.5,2026-07-11
401858424,1,Illinois,UAB,2026-09-04T01:00:00.000Z,-23.5,2026-07-11
401864495,1,Eastern Michigan,San José State,2026-09-04T22:30:00.000Z,-3.5,2026-07-11
401858435,1,Purdue,Indiana State,2026-09-04T23:00:00.000Z,-25.5,2026-07-11
401866623,1,Georgia State,North Carolina A&T,2026-09-04T23:00:00.000Z,-30.5,2026-07-11
401856769,1,Kansas,Long Island University,2026-09-05T00:00:00.000Z,-16.5,2026-07-11
401856664,1,Oklahoma,UTEP,2026-09-05T00:00:00.000Z,-34.5,2026-07-11
401858429,1,Michigan State,Toledo,2026-09-05T00:00:00.000Z,-10.5,2026-07-11
401858436,1,USC,Fresno State,2026-09-05T01:00:00.000Z,-19.5,2026-07-11
401858206,1,Stanford,Miami,2026-09-05T01:00:00.000Z,26.5,2026-07-11
401861962,1,UConn,Lafayette,2026-09-05T04:00:00.000Z,-27.5,2026-07-11
401858425,1,Indiana,North Texas,2026-09-05T16:00:00.000Z,-30.5,2026-07-11
401858207,1,Pittsburgh,Miami (OH),2026-09-05T16:00:00.000Z,-20.5,2026-07-11
401858430,1,Nebraska,Ohio,2026-09-05T16:00:00.000Z,-15.5,2026-07-11
401858208,1,Syracuse,New Hampshire,2026-09-05T16:00:00.000Z,-37.5,2026-07-11
401856780,1,West Virginia,Coastal Carolina,2026-09-05T16:00:00.000Z,-15.5,2026-07-11
401856778,1,Houston,Oregon State,2026-09-05T16:00:00.000Z,-20.5,2026-07-11
401864496,1,Air Force,Duquesne,2026-09-05T16:00:00.000Z,-28.5,2026-07-11
401856634,1,Alabama,East Carolina,2026-09-05T16:00:00.000Z,-30.5,2026-07-11
401862701,1,Army,Bryant,2026-09-05T16:00:00.000Z,-23.5,2026-07-11
401866410,1,Bowling Green,Tarleton State,2026-09-05T16:00:00.000Z,-19.5,2026-07-11
401869960,1,James Madison,Liberty,2026-09-05T16:00:00.000Z,-9.5,2026-07-11
401858432,1,Ohio State,Ball State,2026-09-05T16:30:00.000Z,-30.5,2026-07-11
401856665,1,South Carolina,Kent State,2026-09-05T16:45:00.000Z,-23.5,2026-07-11
401856659,1,Kentucky,Youngstown State,2026-09-05T17:00:00.000Z,-26.5,2026-07-11
401856779,1,Iowa State,Southeast Missouri State,2026-09-05T17:00:00.000Z,-40.5,2026-07-11
401862698,1,Temple,Rhode Island,2026-09-05T18:00:00.000Z,-20.5,2026-07-11
401856658,1,Georgia,Tennessee State,2026-09-05T19:00:00.000Z,-41.5,2026-07-11
401862694,1,Charlotte,The Citadel,2026-09-05T19:30:00.000Z,-13.5,2026-07-11
401862700,1,UTSA,UT Rio Grande Valley,2026-09-05T19:30:00.000Z,-26.5,2026-07-11
401856636,1,Auburn,Baylor,2026-09-05T19:30:00.000Z,-3.5,2026-07-11
401858434,1,Penn State,Marshall,2026-09-05T19:30:00.000Z,-20.5,2026-07-11
401858433,1,Oregon,Boise State,2026-09-05T19:30:00.000Z,-21.5,2026-07-11
401866627,1,App State,Maine,2026-09-05T19:30:00.000Z,-34.5,2026-07-11
401862696,1,Navy,Towson,2026-09-05T19:30:00.000Z,-26.5,2026-07-11
401864499,1,North Dakota State,Fordham,2026-09-05T19:30:00.000Z,-26.5,2026-07-11
401856777,1,Cincinnati,Boston College,2026-09-05T19:30:00.000Z,-3.5,2026-07-11
401858209,1,Duke,Tulane,2026-09-05T19:30:00.000Z,-8.5,2026-07-11
401856666,1,Tennessee,Furman,2026-09-05T19:30:00.000Z,-39.5,2026-07-11
401856667,1,Texas,Texas State,2026-09-05T19:30:00.000Z,-33.5,2026-07-11
401856772,1,Tulsa,Oklahoma State,2026-09-05T19:45:00.000Z,13.5,2026-07-11
401858426,1,Iowa,Northern Illinois,2026-09-05T20:15:00.000Z,-17.5,2026-07-11
401856635,1,Arkansas,North Alabama,2026-09-05T20:15:00.000Z,-32.5,2026-07-11
401868356,1,Southern Miss,Alcorn State,2026-09-05T21:00:00.000Z,-13.5,2026-07-11
401867973,1,Old Dominion,Norfolk State,2026-09-05T22:00:00.000Z,-9.5,2026-07-11
401860878,1,Colorado State,Wyoming,2026-09-05T22:00:00.000Z,-4.5,2026-07-11
401856771,1,Kansas State,Nicholls,2026-09-05T23:00:00.000Z,-41.5,2026-07-11
401862699,1,South Florida,Florida International,2026-09-05T23:00:00.000Z,-11.5,2026-07-11
401860880,1,Utah State,Idaho State,2026-09-05T23:00:00.000Z,-26.5,2026-07-11
401868316,1,South Alabama,SE Louisiana,2026-09-05T23:00:00.000Z,-23.5,2026-07-11
401856668,1,Texas A&M,Missouri State,2026-09-05T23:00:00.000Z,-32.5,2026-07-11
401862697,1,Rice,Houston Christian,2026-09-05T23:00:00.000Z,-6.5,2026-07-11
401868170,1,Georgia Southern,Charleston Southern,2026-09-05T23:00:00.000Z,-19.5,2026-07-11
401862695,1,Memphis,Arkansas State,2026-09-05T23:00:00.000Z,3.5,2026-07-11
401870763,1,Troy,Sam Houston,2026-09-05T23:00:00.000Z,-9.5,2026-07-11
401868140,1,Jacksonville State,Eastern Kentucky,2026-09-05T23:00:00.000Z,-4.5,2026-07-11
401856669,1,Vanderbilt,Austin Peay,2026-09-05T23:00:00.000Z,-37.5,2026-07-11
401856770,1,Texas Tech,Abilene Christian,2026-09-05T23:00:00.000Z,-37.5,2026-07-11
401867866,1,Middle Tennessee,Murray State,2026-09-05T23:00:00.000Z,-12.5,2026-07-11
401856662,1,Mississippi State,UL Monroe,2026-09-05T23:30:00.000Z,-27.5,2026-07-11
401869129,1,Louisiana Tech,Northwestern State,2026-09-05T23:30:00.000Z,-33.5,2026-07-11
401858211,1,Virginia Tech,VMI,2026-09-05T23:30:00.000Z,-40.5,2026-07-11
401856660,1,LSU,Clemson,2026-09-05T23:30:00.000Z,-6.5,2026-07-11
401858428,1,Michigan,Western Michigan,2026-09-05T23:30:00.000Z,-30.5,2026-07-11
401856637,1,Florida,Florida Atlantic,2026-09-05T23:45:00.000Z,-26.5,2026-07-11
401856775,1,BYU,Utah Tech,2026-09-06T00:00:00.000Z,-39.5,2026-07-11
401858431,1,Northwestern,South Dakota State,2026-09-06T00:00:00.000Z,1.5,2026-07-11
401869142,1,Louisiana,Lamar,2026-09-06T00:00:00.000Z,-27.5,2026-07-11
401858427,1,Maryland,Hampton,2026-09-06T00:00:00.000Z,-36.5,2026-07-11
401870790,1,New Mexico State,Mercyhurst,2026-09-06T01:00:00.000Z,-19.5,2026-07-11
401856773,1,Arizona,Northern Arizona,2026-09-06T01:30:00.000Z,-23.5,2026-07-11
401860879,1,San Diego State,Portland State,2026-09-06T01:30:00.000Z,-28.5,2026-07-11
401856774,1,Arizona State,Morgan State,2026-09-06T02:00:00.000Z,-29.5,2026-07-11
401864498,1,New Mexico,Central Michigan,2026-09-06T02:00:00.000Z,-5.5,2026-07-11
401864497,1,Hawai'i,UNLV,2026-09-06T02:00:00.000Z,3.5,2026-07-11
401866411,1,Sacramento State,Mississippi Valley State,2026-09-06T02:00:00.000Z,-4.5,2026-07-11
401858210,1,California,UCLA,2026-09-06T02:30:00.000Z,3.5,2026-07-11
401864432,1,Nevada,Western Kentucky,2026-09-06T02:30:00.000Z,2.5,2026-07-11
401858437,1,Washington,Washington State,2026-09-06T20:00:00.000Z,-14.5,2026-07-11
401856661,1,Ole Miss,Louisville,2026-09-06T23:30:00.000Z,-6.5,2026-07-11
401858438,1,Notre Dame,Wisconsin,2026-09-06T23:30:00.000Z,-23.5,2026-07-11
401858212,1,Florida State,SMU,2026-09-07T23:30:00.000Z,3.5,2026-07-11
401858213,2,Miami,Florida A&M,2026-09-11T00:00:00.000Z,,
401858215,2,Louisville,Villanova,2026-09-11T23:00:00.000Z,,
401858222,2,NC State,Richmond,2026-09-11T23:00:00.000Z,,
401858220,2,Virginia,Norfolk State,2026-09-11T23:00:00.000Z,,
401858214,2,Boston College,Rutgers,2026-09-11T23:30:00.000Z,,
401856678,2,Kansas,Missouri,2026-09-12T00:00:00.000Z,,
401856671,2,Auburn,Southern Miss,2026-09-12T04:00:00.000Z,,
401864504,2,San José State,Cal Poly,2026-09-12T04:00:00.000Z,,
401865252,2,New Mexico,Mercyhurst,2026-09-12T04:00:00.000Z,,
401864578,2,Hawai'i,New Mexico State,2026-09-12T04:00:00.000Z,,
401866416,2,Kent State,Wofford,2026-09-12T16:00:00.000Z,,
401858439,2,Indiana,Howard,2026-09-12T16:00:00.000Z,,
401862702,2,Army,South Florida,2026-09-12T16:00:00.000Z,,
401858218,2,North Carolina,East Tennessee State,2026-09-12T16:00:00.000Z,,
401858221,2,Virginia Tech,Old Dominion,2026-09-12T16:00:00.000Z,,
401856683,2,Texas A&M,Arizona State,2026-09-12T16:00:00.000Z,,
401856782,2,Oklahoma State,Oregon,2026-09-12T16:00:00.000Z,,
401856679,2,Michigan,Oklahoma,2026-09-12T16:00:00.000Z,,
401864571,2,East Carolina,App State,2026-09-12T16:00:00.000Z,,
401856781,2,Kansas State,Washington State,2026-09-12T16:00:00.000Z,,
401858224,2,Purdue,Wake Forest,2026-09-12T16:00:00.000Z,,
401858442,2,Temple,Penn State,2026-09-12T16:00:00.000Z,,
401856673,2,Georgia,Western Kentucky,2026-09-12T16:45:00.000Z,,
401866415,2,Central Michigan,Colgate,2026-09-12T17:00:00.000Z,,
401866417,2,Miami (OH),Holy Cross,2026-09-12T17:00:00.000Z,,
401856791,2,West Virginia,UT Martin,2026-09-12T17:00:00.000Z,,
401866413,2,Ball State,Stony Brook,2026-09-12T18:00:00.000Z,,
401858216,2,Syracuse,California,2026-09-12T19:30:00.000Z,,
401867929,2,James Madison,Wagner,2026-09-12T19:30:00.000Z,,
401860884,2,Texas State,UTSA,2026-09-12T19:30:00.000Z,,
401862708,2,UAB,UL Monroe,2026-09-12T19:30:00.000Z,,
401858217,2,Illinois,Duke,2026-09-12T19:30:00.000Z,,
401859184,2,Notre Dame,Rice,2026-09-12T19:30:00.000Z,,
401856810,2,BYU,Arizona,2026-09-12T19:30:00.000Z,,
401866412,2,Akron,Robert Morris,2026-09-12T19:30:00.000Z,,
401856790,2,Pittsburgh,UCF,2026-09-12T19:30:00.000Z,,
401858446,2,Washington,Utah State,2026-09-12T19:30:00.000Z,,
401856674,2,Kentucky,Alabama,2026-09-12T19:30:00.000Z,,
401866420,2,Massachusetts,Sacred Heart,2026-09-12T19:30:00.000Z,,
401856785,2,Colorado,Weber State,2026-09-12T19:30:00.000Z,,
401858440,2,Michigan State,Eastern Michigan,2026-09-12T19:30:00.000Z,,
401858444,2,UConn,Maryland,2026-09-12T19:30:00.000Z,,
401856677,2,Minnesota,Mississippi State,2026-09-12T19:30:00.000Z,,
401866419,2,Toledo,Central Connecticut,2026-09-12T19:30:00.000Z,,
401862705,2,North Texas,UNLV,2026-09-12T19:45:00.000Z,,
401864506,2,Wyoming,Northern Colorado,2026-09-12T20:00:00.000Z,,
401858223,2,SMU,UC Davis,2026-09-12T20:00:00.000Z,,
401868326,2,Troy,Alabama State,2026-09-12T20:00:00.000Z,,
401856684,2,Vanderbilt,Delaware,2026-09-12T20:15:00.000Z,,
401856672,2,Florida,Campbell,2026-09-12T21:30:00.000Z,,
401860881,2,Boise State,Memphis,2026-09-12T22:00:00.000Z,,
401866418,2,Ohio,Jacksonville State,2026-09-12T22:00:00.000Z,,
401868187,2,Liberty,Gardner-Webb,2026-09-12T22:00:00.000Z,,
401866414,2,Florida International,Buffalo,2026-09-12T22:00:00.000Z,,
401866421,2,Western Michigan,Monmouth,2026-09-12T22:30:00.000Z,,
401858441,2,Nebraska,Bowling Green,2026-09-12T23:00:00.000Z,,
401856680,2,South Carolina,Towson,2026-09-12T23:00:00.000Z,,
401856786,2,Cincinnati,Western Carolina,2026-09-12T23:00:00.000Z,,
401856681,2,Georgia Tech,Tennessee,2026-09-12T23:00:00.000Z,,
401860882,2,Colorado State,Southern Utah,2026-09-12T23:00:00.000Z,,
401869955,2,Kennesaw State,Georgia State,2026-09-12T23:00:00.000Z,,
401864503,2,Northern Illinois,Illinois State,2026-09-12T23:00:00.000Z,,
401871046,2,Missouri State,Lindenwood,2026-09-12T23:00:00.000Z,,
401868241,2,Arkansas State,West Georgia,2026-09-12T23:00:00.000Z,,
401871045,2,Marshall,Middle Tennessee,2026-09-12T23:00:00.000Z,,
401864575,2,Tulane,South Alabama,2026-09-12T23:00:00.000Z,,
401856787,2,Houston,Southern,2026-09-12T23:00:00.000Z,,
401862707,2,Sam Houston,Tulsa,2026-09-12T23:00:00.000Z,,
401858443,2,UCLA,San Diego State,2026-09-12T23:15:00.000Z,,
401858447,2,Wisconsin,Western Illinois,2026-09-12T23:15:00.000Z,,
401862703,2,Florida Atlantic,Navy,2026-09-12T23:30:00.000Z,,
401856783,2,Oregon State,Texas Tech,2026-09-12T23:30:00.000Z,,
401856788,2,Iowa,Iowa State,2026-09-12T23:30:00.000Z,,
401858219,2,Clemson,Georgia Southern,2026-09-12T23:30:00.000Z,,
401867796,2,LSU,Louisiana Tech,2026-09-12T23:30:00.000Z,,
401856682,2,Texas,Ohio State,2026-09-12T23:30:00.000Z,,
401868008,2,Coastal Carolina,Fordham,2026-09-12T23:30:00.000Z,,
401856676,2,Ole Miss,Charlotte,2026-09-12T23:45:00.000Z,,
401856784,2,Baylor,Prairie View A&M,2026-09-13T00:00:00.000Z,,
401856789,2,TCU,Grambling,2026-09-13T00:00:00.000Z,,
401864505,2,UTEP,Texas Southern,2026-09-13T01:00:00.000Z,,
401864502,2,Air Force,North Dakota State,2026-09-13T02:00:00.000Z,,
401856670,2,Utah,Arkansas,2026-09-13T02:15:00.000Z,,
401860883,2,Fresno State,Sacramento State,2026-09-13T02:30:00.000Z,,
401864500,2,Nevada,Montana State,2026-09-13T02:30:00.000Z,,
401858445,2,USC,Louisiana,2026-09-13T03:00:00.000Z,,
401858225,3,Pittsburgh,Syracuse,2026-09-17T23:30:00.000Z,,
401858226,3,Wake Forest,Miami,2026-09-18T23:30:00.000Z,,
401856811,3,Texas Tech,Houston,2026-09-19T00:00:00.000Z,,
401858455,3,Oregon,Portland State,2026-09-19T02:30:00.000Z,,
401869940,3,Delaware,Coastal Carolina,2026-09-19T15:30:00.000Z,,
401858228,3,Georgia Tech,Mercer,2026-09-19T16:00:00.000Z,,
401858454,3,Ohio State,Kent State,2026-09-19T16:00:00.000Z,,
401858451,3,Minnesota,Akron,2026-09-19T16:00:00.000Z,,
401856792,3,Kansas State,Tulane,2026-09-19T16:00:00.000Z,,
401856686,3,Arkansas,Georgia,2026-09-19T16:00:00.000Z,,
401856798,3,Iowa State,Bowling Green,2026-09-19T16:00:00.000Z,,
401856812,3,Kansas,Arizona State,2026-09-19T16:00:00.000Z,,
401858456,3,Penn State,Buffalo,2026-09-19T16:00:00.000Z,,
401858229,3,Clemson,North Carolina,2026-09-19T16:00:00.000Z,,
401858460,3,Wisconsin,Eastern Michigan,2026-09-19T16:30:00.000Z,,
401856689,3,Missouri,Troy,2026-09-19T16:45:00.000Z,,
401856695,3,Vanderbilt,NC State,2026-09-19T16:45:00.000Z,,
401864508,3,Central Michigan,Wyoming,2026-09-19T17:00:00.000Z,,
401858448,3,Illinois,Southern Illinois,2026-09-19T18:00:00.000Z,,
401858227,3,Boston College,Maine,2026-09-19T18:00:00.000Z,,
401862774,3,Toledo,Temple,2026-09-19T19:00:00.000Z,,
401858230,3,Louisville,SMU,2026-09-19T19:30:00.000Z,,
401856801,3,Utah,Utah State,2026-09-19T19:30:00.000Z,,
401856694,3,Texas A&M,Kentucky,2026-09-19T19:30:00.000Z,,
401860890,3,Washington State,Duquesne,2026-09-19T19:30:00.000Z,,
401856797,3,Cincinnati,Miami (OH),2026-09-19T19:30:00.000Z,,
401866424,3,Massachusetts,Stonehill,2026-09-19T19:30:00.000Z,,
401858450,3,Michigan,UTEP,2026-09-19T19:30:00.000Z,,
401858233,3,California,Wagner,2026-09-19T19:30:00.000Z,,
401856685,3,Alabama,Florida State,2026-09-19T19:30:00.000Z,,
401858457,3,Rutgers,USC,2026-09-19T19:30:00.000Z,,
401858231,3,Duke,Stanford,2026-09-19T20:00:00.000Z,,
401866422,3,Liberty,Ball State,2026-09-19T20:00:00.000Z,,
401867804,3,Baylor,Louisiana Tech,2026-09-19T20:00:00.000Z,,
401858449,3,Indiana,Western Kentucky,2026-09-19T20:00:00.000Z,,
401858471,3,Iowa,Northern Iowa,2026-09-19T20:00:00.000Z,,
401856691,3,South Carolina,Mississippi State,2026-09-19T20:15:00.000Z,,
401868317,3,UL Monroe,SE Louisiana,2026-09-19T20:30:00.000Z,,
401864574,3,App State,Charlotte,2026-09-19T22:00:00.000Z,,
401862771,3,Florida Atlantic,Florida International,2026-09-19T22:00:00.000Z,,
401862710,3,Old Dominion,East Carolina,2026-09-19T22:00:00.000Z,,
401871047,3,Missouri State,Marshall,2026-09-19T22:30:00.000Z,,
401870764,3,Sam Houston,Nicholls,2026-09-19T23:00:00.000Z,,
401862773,3,Rice,Western Michigan,2026-09-19T23:00:00.000Z,,
401862777,3,South Florida,Delaware State,2026-09-19T23:00:00.000Z,,
401869948,3,Jacksonville State,Georgia Southern,2026-09-19T23:00:00.000Z,,
401856687,3,Auburn,Florida,2026-09-19T23:00:00.000Z,,
401856800,3,UCF,Georgia State,2026-09-19T23:00:00.000Z,,
401856803,3,Oklahoma State,Murray State,2026-09-19T23:00:00.000Z,,
401866423,3,South Alabama,Ohio,2026-09-19T23:00:00.000Z,,
401861963,3,Southern Miss,UConn,2026-09-19T23:00:00.000Z,,
401862772,3,Memphis,UT Martin,2026-09-19T23:00:00.000Z,,
401864443,3,Middle Tennessee,Nevada,2026-09-19T23:00:00.000Z,,
401858459,3,Washington,Eastern Washington,2026-09-19T23:15:00.000Z,,
401858452,3,Nebraska,North Dakota,2026-09-19T23:15:00.000Z,,
401856688,3,Ole Miss,LSU,2026-09-19T23:30:00.000Z,,
401856802,3,Virginia,West Virginia,2026-09-19T23:30:00.000Z,,
401856796,3,Northwestern,Colorado,2026-09-19T23:30:00.000Z,,
401858232,3,Maryland,Virginia Tech,2026-09-19T23:30:00.000Z,,
401856795,3,Colorado State,BYU,2026-09-19T23:30:00.000Z,,
401858453,3,Notre Dame,Michigan State,2026-09-19T23:30:00.000Z,,
401856690,3,Oklahoma,New Mexico,2026-09-19T23:30:00.000Z,,
401856692,3,Tennessee,Kennesaw State,2026-09-19T23:45:00.000Z,,
401862775,3,Tulsa,East Texas A&M,2026-09-20T00:00:00.000Z,,
401856693,3,Texas,UTSA,2026-09-20T00:00:00.000Z,,
401856799,3,TCU,Arkansas State,2026-09-20T00:00:00.000Z,,
401862776,3,Louisiana,UAB,2026-09-20T00:00:00.000Z,,
401860887,3,San Diego State,James Madison,2026-09-20T02:00:00.000Z,,
401860885,3,Boise State,South Dakota,2026-09-20T02:00:00.000Z,,
401860889,3,Texas State,North Texas,2026-09-20T02:00:00.000Z,,
401864507,3,Sacramento State,North Dakota State,2026-09-20T02:30:00.000Z,,
401856793,3,Arizona,Northern Illinois,2026-09-20T02:30:00.000Z,,
401858458,3,UCLA,Purdue,2026-09-20T03:00:00.000Z,,
401860888,3,San José State,Fresno State,2026-09-20T03:00:00.000Z,,
401860886,3,Oregon State,Montana,2026-09-20T03:00:00.000Z,,
